2021-09-09 16:32:40 strips_hgn.utils.logging_setup INFO     Writing logs to /home/mat/Doctorado/planning_learned_heuristic/shen_strips_hgn/STRIPS-HGN/results/train-strips-hgn-2021-09-09T16:32:40.681855/strips_hgn.log
2021-09-09 16:32:40 strips_hgn.utils.helpers INFO     Experiment results directory: /home/mat/Doctorado/planning_learned_heuristic/shen_strips_hgn/STRIPS-HGN/results/train-strips-hgn-2021-09-09T16:32:40.681855
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/blocks-slaney/domain.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/blocks-slaney/blocks4/task01.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    5 Predicates parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    4 Actions parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    4 Objects parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: bw-4-5774-1
2021-09-09 16:32:40 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: bw-4-5774-1
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    29 Variables created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    40 Operators created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/blocks-slaney/domain.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/blocks-slaney/blocks4/task02.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    5 Predicates parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    4 Actions parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    4 Objects parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: bw-4-5774-2
2021-09-09 16:32:40 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: bw-4-5774-2
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    29 Variables created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    40 Operators created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/blocks-slaney/domain.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/blocks-slaney/blocks4/task03.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    5 Predicates parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    4 Actions parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    4 Objects parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: bw-4-5774-3
2021-09-09 16:32:40 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: bw-4-5774-3
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    29 Variables created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    40 Operators created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/blocks-slaney/domain.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/blocks-slaney/blocks4/task04.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    5 Predicates parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    4 Actions parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    4 Objects parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: bw-4-5774-4
2021-09-09 16:32:40 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: bw-4-5774-4
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    29 Variables created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    40 Operators created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/blocks-slaney/domain.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/blocks-slaney/blocks4/task05.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    5 Predicates parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    4 Actions parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    4 Objects parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: bw-4-5774-5
2021-09-09 16:32:40 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: bw-4-5774-5
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    29 Variables created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    40 Operators created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/blocks-slaney/domain.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/blocks-slaney/blocks5/task01.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    5 Predicates parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    4 Actions parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    5 Objects parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: bw-5-168-1
2021-09-09 16:32:40 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: bw-5-168-1
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    41 Variables created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    60 Operators created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/blocks-slaney/domain.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/blocks-slaney/blocks5/task02.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    5 Predicates parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    4 Actions parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    5 Objects parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: bw-5-168-2
2021-09-09 16:32:40 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: bw-5-168-2
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    41 Variables created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    60 Operators created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/blocks-slaney/domain.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/blocks-slaney/blocks5/task03.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    5 Predicates parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    4 Actions parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    5 Objects parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: bw-5-168-3
2021-09-09 16:32:40 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: bw-5-168-3
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    41 Variables created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    60 Operators created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/blocks-slaney/domain.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/blocks-slaney/blocks5/task04.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    5 Predicates parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    4 Actions parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    5 Objects parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: bw-5-168-4
2021-09-09 16:32:40 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: bw-5-168-4
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    41 Variables created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    60 Operators created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/blocks-slaney/domain.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/blocks-slaney/blocks5/task05.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    5 Predicates parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    4 Actions parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    5 Objects parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: bw-5-168-5
2021-09-09 16:32:40 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: bw-5-168-5
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    41 Variables created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    60 Operators created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/zenotravel/domain.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/zenotravel/train/zenotravel-cities2-planes1-people3-8798.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    4 Predicates parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    5 Actions parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    13 Objects parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: ztravel-cities2-planes1-people3
2021-09-09 16:32:40 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: ztravel-cities2-planes1-people3
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    18 Variables created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    68 Operators created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/zenotravel/domain.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/zenotravel/train/zenotravel-cities2-planes2-people3-9145.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    4 Predicates parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    5 Actions parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    14 Objects parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: ztravel-cities2-planes2-people3
2021-09-09 16:32:40 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: ztravel-cities2-planes2-people3
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    30 Variables created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    136 Operators created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/zenotravel/domain.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/zenotravel/train/zenotravel-cities2-planes3-people3-3417.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    4 Predicates parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    5 Actions parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    15 Objects parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: ztravel-cities2-planes3-people3
2021-09-09 16:32:40 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: ztravel-cities2-planes3-people3
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    42 Variables created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    204 Operators created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/zenotravel/domain.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/zenotravel/train/zenotravel-cities2-planes4-people2-4892.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    4 Predicates parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    5 Actions parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    15 Objects parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: ztravel-cities2-planes4-people2
2021-09-09 16:32:40 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: ztravel-cities2-planes4-people2
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    48 Variables created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    256 Operators created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/zenotravel/domain.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/zenotravel/train/zenotravel-cities2-planes4-people4-6874.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    4 Predicates parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    5 Actions parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    17 Objects parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: ztravel-cities2-planes4-people4
2021-09-09 16:32:40 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: ztravel-cities2-planes4-people4
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    60 Variables created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    288 Operators created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/zenotravel/domain.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/zenotravel/train/zenotravel-cities3-planes1-people3-4791.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    4 Predicates parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    5 Actions parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    14 Objects parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: ztravel-cities3-planes1-people3
2021-09-09 16:32:40 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: ztravel-cities3-planes1-people3
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    22 Variables created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    135 Operators created
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/zenotravel/domain.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/zenotravel/train/zenotravel-cities3-planes2-people3-8752.pddl
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    4 Predicates parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    5 Actions parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    15 Objects parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: ztravel-cities3-planes2-people3
2021-09-09 16:32:40 pyperplan.grounding INFO     Relevance analysis removed 5 facts
2021-09-09 16:32:40 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: ztravel-cities3-planes2-people3
