2021-09-23 00:35:15 strips_hgn.utils.logging_setup INFO     Writing logs to /home/mat/Doctorado/planning_learned_heuristic/shen_fd_strips_hgn/STRIPS-HGN/results/train-strips-hgn-2021-09-23T00:35:15.058358/strips_hgn.log
2021-09-23 00:35:15 strips_hgn.utils.helpers INFO     Experiment results directory: /home/mat/Doctorado/planning_learned_heuristic/shen_fd_strips_hgn/STRIPS-HGN/results/train-strips-hgn-2021-09-23T00:35:15.058358
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/logistics/domain.pddl
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/logistics/train/logistics0-airplanes2-cities2-citysize2-packages2.pddl
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    9 Predicates parsed
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    6 Actions parsed
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    12 Objects parsed
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: logistics-c2-s2-p2-a2
2021-09-23 00:35:15 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: logistics-c2-s2-p2-a2
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    32 Variables created
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    76 Operators created
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/logistics/domain.pddl
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/logistics/train/logistics10-airplanes3-cities2-citysize2-packages2.pddl
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    9 Predicates parsed
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    6 Actions parsed
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    13 Objects parsed
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: logistics-c2-s2-p2-a3
2021-09-23 00:35:15 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: logistics-c2-s2-p2-a3
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    38 Variables created
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    94 Operators created
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/logistics/domain.pddl
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/logistics/train/logistics11-airplanes3-cities2-citysize2-packages2.pddl
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    9 Predicates parsed
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    6 Actions parsed
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    13 Objects parsed
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: logistics-c2-s2-p2-a3
2021-09-23 00:35:15 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: logistics-c2-s2-p2-a3
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    38 Variables created
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    94 Operators created
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/logistics/domain.pddl
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/logistics/train/logistics12-airplanes3-cities2-citysize3-packages2.pddl
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    9 Predicates parsed
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    6 Actions parsed
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    15 Objects parsed
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-23 00:35:15 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: logistics-c2-s3-p2-a3
