2021-09-29 11:43:32 strips_hgn.utils.logging_setup INFO     Writing logs to /home/mat/Doctorado/planning_learned_heuristic/shen_fd_strips_hgn/STRIPS-HGN/results/train-strips-hgn-2021-09-29T11:43:32.992967/strips_hgn.log
2021-09-29 11:43:32 strips_hgn.utils.helpers INFO     Experiment results directory: /home/mat/Doctorado/planning_learned_heuristic/shen_fd_strips_hgn/STRIPS-HGN/results/train-strips-hgn-2021-09-29T11:43:32.992967
2021-09-29 11:43:32 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/logistics/domain.pddl
2021-09-29 11:43:32 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/logistics/train/logistics0-airplanes2-cities2-citysize2-packages2.pddl
2021-09-29 11:43:32 strips_hgn.planning.pyperplan_api DEBUG    9 Predicates parsed
2021-09-29 11:43:32 strips_hgn.planning.pyperplan_api DEBUG    6 Actions parsed
2021-09-29 11:43:32 strips_hgn.planning.pyperplan_api DEBUG    12 Objects parsed
2021-09-29 11:43:32 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-29 11:43:32 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: logistics-c2-s2-p2-a2
2021-09-29 11:43:33 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: logistics-c2-s2-p2-a2
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    32 Variables created
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    76 Operators created
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/logistics/domain.pddl
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/logistics/train/logistics10-airplanes3-cities2-citysize2-packages2.pddl
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    9 Predicates parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    6 Actions parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    13 Objects parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: logistics-c2-s2-p2-a3
2021-09-29 11:43:33 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: logistics-c2-s2-p2-a3
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    38 Variables created
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    94 Operators created
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/logistics/domain.pddl
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/logistics/train/logistics11-airplanes3-cities2-citysize2-packages2.pddl
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    9 Predicates parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    6 Actions parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    13 Objects parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: logistics-c2-s2-p2-a3
2021-09-29 11:43:33 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: logistics-c2-s2-p2-a3
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    38 Variables created
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    94 Operators created
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/logistics/domain.pddl
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/logistics/train/logistics12-airplanes3-cities2-citysize3-packages2.pddl
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    9 Predicates parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    6 Actions parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    15 Objects parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: logistics-c2-s3-p2-a3
2021-09-29 11:43:33 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: logistics-c2-s3-p2-a3
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    52 Variables created
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    150 Operators created
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/logistics/domain.pddl
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/logistics/train/logistics13-airplanes3-cities2-citysize3-packages2.pddl
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    9 Predicates parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    6 Actions parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    15 Objects parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: logistics-c2-s3-p2-a3
2021-09-29 11:43:33 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: logistics-c2-s3-p2-a3
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    52 Variables created
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    150 Operators created
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/logistics/domain.pddl
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/logistics/train/logistics14-airplanes3-cities2-citysize3-packages2.pddl
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    9 Predicates parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    6 Actions parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    15 Objects parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: logistics-c2-s3-p2-a3
2021-09-29 11:43:33 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: logistics-c2-s3-p2-a3
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    52 Variables created
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    150 Operators created
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/logistics/domain.pddl
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/logistics/train/logistics15-airplanes3-cities2-citysize4-packages2.pddl
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    9 Predicates parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    6 Actions parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    17 Objects parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: logistics-c2-s4-p2-a3
2021-09-29 11:43:33 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: logistics-c2-s4-p2-a3
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    66 Variables created
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    214 Operators created
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/logistics/domain.pddl
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/logistics/train/logistics16-airplanes3-cities2-citysize4-packages2.pddl
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    9 Predicates parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    6 Actions parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    17 Objects parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: logistics-c2-s4-p2-a3
2021-09-29 11:43:33 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: logistics-c2-s4-p2-a3
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    66 Variables created
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    214 Operators created
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/logistics/domain.pddl
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/logistics/train/logistics17-airplanes3-cities2-citysize4-packages2.pddl
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    9 Predicates parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    6 Actions parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    17 Objects parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: logistics-c2-s4-p2-a3
2021-09-29 11:43:33 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: logistics-c2-s4-p2-a3
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    66 Variables created
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    214 Operators created
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/logistics/domain.pddl
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/logistics/train/logistics18-airplanes4-cities2-citysize2-packages2.pddl
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    9 Predicates parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    6 Actions parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    14 Objects parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: logistics-c2-s2-p2-a4
2021-09-29 11:43:33 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: logistics-c2-s2-p2-a4
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    44 Variables created
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    112 Operators created
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/logistics/domain.pddl
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/logistics/train/logistics19-airplanes4-cities2-citysize2-packages2.pddl
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    9 Predicates parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    6 Actions parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    14 Objects parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: logistics-c2-s2-p2-a4
2021-09-29 11:43:33 pyperplan.grounding INFO     Relevance analysis removed 0 facts
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Grounding end: logistics-c2-s2-p2-a4
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    44 Variables created
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    112 Operators created
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Parsing Domain ../benchmarks/logistics/domain.pddl
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Parsing Problem ../benchmarks/logistics/train/logistics1-airplanes2-cities2-citysize2-packages2.pddl
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    9 Predicates parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    6 Actions parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    12 Objects parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    0 Constants parsed
2021-09-29 11:43:33 strips_hgn.planning.pyperplan_api DEBUG    Grounding start: logistics-c2-s2-p2-a2
